artifact,rows,columns
reports/tables/paper_comparable_cv_metric_table_raw.csv,84,34
reports/tables/paper_comparable_cv_speech_feature_selection.csv,101400,14
reports/tables/paper_metric_table.csv,1749,27
reports/tables/paper_metric_table_raw.csv,1749,105
reports/tables/publication_evidence_matrix.csv,24,11
reports/tables/quality_summary.csv,4,5
reports/tables/related_paper_comparison.csv,18,10
reports/tables/sota_compare_is10_feature_importance.csv,10140,10
reports/tables/sota_compare_is10_feature_selection_summary.csv,3,7
reports/tables/sota_compare_is10_model_selection.csv,9,10
reports/tables/sota_gated_stack_candidates.csv,98,38
reports/tables/sota_segment_index_audit.csv,1,3
reports/tables/sota_segment_index_practical_audit.csv,1,3
reports/tables/sota_swarm_feature_selection.csv,3,12
reports/tables/split_audit.csv,21,5
reports/tables/strong_baseline_model_selection.csv,3,8
reports/tables/strong_baseline_participant_audit.csv,21,5
reports/tables/strong_baseline_protocol_audit.csv,39,7
reports/tables/temporal_external_unification.csv,4,14
reports/tables/temporal_failure_modes_by_shift.csv,12,9
reports/tables/temporal_holdout_metadata_feature_importance.csv,349,7
reports/tables/temporal_holdout_metadata_group_summary.csv,21,11
reports/tables/temporal_holdout_modality_coverage.csv,27,7
reports/tables/temporal_holdout_split_summary.csv,9,9
reports/tables/temporal_matched_cohort_metrics.csv,4,21
reports/tables/temporal_metadata_ablation.csv,33,27
reports/tables/temporal_metadata_feature_attribution_comparison.csv,138,14
reports/tables/temporal_month_ablation_effect_sizes.csv,3,7
reports/tables/temporal_month_covariate_shift.csv,435,4
reports/tables/temporal_month_label_shift.csv,23,11
reports/tables/temporal_month_year_ablation_paper_table.csv,4,10
reports/tables/temporal_stability_summary.csv,14,44
reports/tables/temporal_stress_test_significance.csv,1,10
reports/tables/temporal_stress_test_summary.csv,4,16
reports/tables/temporal_uncertainty_under_shift.csv,3,7
reports/tables/validation_issues.csv,1,3
